Feature,Importance
cause_x_police_station_te,54.23956987101788
cause_x_corridor_te,15.579591816153723
veh_type_x_cause,4.0196744557547115
event_type,3.6786655497316856
police_station_te,3.219545631913307
corridor_te,3.1073632004021157
veh_type,3.0688494432495643
event_cause,2.977716141221584
longitude,2.3236504680299417
zone,1.9918395752789995
latitude,1.719428973555647
event_cause_te,1.1997602955085818
cause_x_police_station,0.9666284818855709
cause_x_hour,0.9607715466862713
corridor,0.4215055554792266
cause_x_corridor,0.3068157366759529
police_station,0.21862325745523817
veh_type_x_corridor,0.0
