description,target_closure,has_leak_keyword
[LOCATION] sir 9 th main 46 crs trdd BSNL office tree fallen on main road closed,0,1
10minutes it will be cleared sir,0,1
BWSSB & Cable work is going near [LOCATION] service road towards [LOCATION]. service road is closed towards [LOCATION] from [LOCATION],1,1
"Kundalahalli towards doddanekundi main road,and [PERSON] police station towards [LOCATION] service road closed regarding metro work sir",1,1
Tree fall at nandagokula hotel temprovery road closed,1,1
"tree fall down , near 18 cross [LOCATION] . both outgoing side and incoming side need to closure . Tumkur road sir",1,1
Notification done for flyover closure.,1,1
vehicle can't  moved because of tyre burst road need tobe closed for a time ...,1,1
[LOCATION] sir 35 th main road Ayodhya ram road trds ig BWSSB work complitede but not closed hole this reason traffic slowly moving,0,1
cleared by putting mud on road,0,1
LGV off roaded  @ DB cross due to wheel cut. driver will removed vehicle after repair of wheel,0,1
will be removed soon sir,0,1
vechile break down 30 mint's will be removed,0,1
BBMP vehicle off-road at [LOCATION] incoming side service road due to over heat n removed in few minutes,0,1
this vehicle off-road at [LOCATION] incoming side due to tyre puncture.vehicle at the left side of service road no problem for traffic moment n cleared in few hours,0,1
10 to 20 minutes it will removed,0,1
BWSSB work in progress Nandhidurga road Haz camp to JCN PS junction road closed.,1,1
nice road closed due [LOCATION] road more traffic,1,1
it will removed 10-15 minutes sir 1km traffic jam towards city dasanapur sir,0,1
tree fall  because road closed,1,1
road closed because of tree fall,1,1
Tata ace vehicle off-road at 8th main due to clutch problem .vehicle at the left side no problem for traffic moment n removed in few minutes,0,1
"Good evening sir 
This BBMP vehicle off-road due to damage at clutch loading at in between gate no 3 and gate no 4 city incoming side
Vehicle at left side n no problem for traffic moment n removed within half an hour",0,1
"Wheel Jam,30 minutes it will removed Sir",0,1
Culvert Work By GBA road closure,1,1
Tree fallen 8 th main 9 th cross trds 17 th main road closed sir,0,1
this tractor off-road at bellari road [LOCATION] outgoing side due to tyre puncture vehicle at the left side n no problem for traffic n removed in few hours,0,1
road not closed sir two wheeler and four wheeler moving.buses and lgv vehicle not moving,0,1
Mini Bus BIEC madavara to towards [LOCATION] city vehicle funchr 5 minutes will be removed,0,1
Traffic no problem vehicle cleared with in 30 minutes,0,1
Water logging at CBI upper ramp t w airport.traffic moving little bit slow.it Will Be cleared soon,0,1
"BMTC Bus Off-road near Deepa complex due to gear problem, Depot No. 12, kengeri Depot, road closure not required.",0,1
This vehicle is full side traffic no problem after repair this will be removed,0,1
Vehicle breakdown due to clutch problem sir it will be removed 10 minites sir,0,1
14th main Down ramp to [LOCATION] service road was closed due to BMTCBus offload,1,1
"Good morning sir..
Near nagenahalli junction from krishtu [PERSON] rods fell on road sir.. Road completely closed from krishtu [PERSON] towards [LOCATION].. 🙏",1,1
[PERSON] removed sir,0,1
Now Works is closed sir... [PERSON]'s movement is slow,0,1
Road closed due to BWSSB work,1,1
BWSSB WORK IS GOINGON near [LOCATION] service road towards [LOCATION] service road Connecting road is closed,1,1
Ring road both sides closed vehicles moving on  service road due to metro work going on,1,1
HSR 5th main to RupenAgrahara service road closed at [LOCATION] work,1,1
Hosur main road nea silk board uppar ramp [LOCATION] working sir....  [LOCATION] main road (silk board  ) closed sir,0,1
"Off-road due to diesal leakage, no problem for traffic movement, will be removed within 20 minutes",0,1
"Grill damage at stock 15 underpass [LOCATION] , outgoing side , work in progress and within 1 hour it will be done",0,1
Ring road closed due to metro work.,1,1
This truck is off road at 10th men probably within 20 minutes this is removed,0,1
Will removed 30 minute,0,1
30 mint's will be removed,0,1
It will be removed in 20 minutes,0,1
